Ｎｅｗ		1A0AENG ◼  GER ◼  MW  ◼  RAD ◼  OPP ◼   INFORMATION 1A0PSTROKES: (0)  CLASSIFIER:  VARIANTS:  RELATIVES:  WORDS:  DISTINGUISH:  DICTIONARY ENTRIES:   ·    CHARACTER MEANING 1A0PCOMPONENTS:  MNEOMICS:  COMPONENT USAGE:  ORIGINS:    ANCIENT FORM:AA10  A0PAA00https://zi.tools/zi/又
Ｆｏｒｍａｔｔｉｎｇ		   MTextTextTextText z  MTextTextTextText u$0MTextblock z$0MTextblock ☝✔✖✘✨✦✿❀❖❗️ Textnewline Textbold Textitalic Textunderline 又link AAAAyī? some link yīlink Textgrey background Textnarrow bold TTextslightly bold Textcolor AA00Textreally small AA10Textreally big  AAAATextlineAAAAa Textcolor Textcolor Textcolor Textcolor Textbackground  Text tab Text tab Text tab      EAC8...    EAFF - nichts EB00......F8FF (private use area)   XXXXX    XXXXXXAAAAXXXXXX  Hyperlinks  AAAAhttps://www.plecoforums.com/threads/feature-request-markup-in-user-dictionary.4369/#post-35610  https://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/archaic/7389-1483079533.jpg  https://www.plecoforums.com/threads/feature-request-markup-in-user-dictionary.4369/#post-35610 皮尔斯 
八[八]	ba1	1A0AENG ◼ eight GER ◼ acht RAD ◼ KangXi radical Nr. 12: eight  INFORMATION 1A0PSTROKES: (2) 񃔉 񃔊 VARIANTS: 丷 RELATIVES: 半 · 分 DISTINGUISH: 入 · 人  CHARACTER MEANING 1A0PCOMPONENTS: 八 MNEOMICS: Indicates separation, to split something COMPONENT USAGE: ◼ to separate or distinguish ORIGINS: 八 represents the original meaning “to separate or distinguish” using two separated strokes. It was borrowed for its pronunciation (i.e., via sound loan) to represent the number eight.   ANCIENT FORM:AA10񃔇  A0PAA00https://zi.tools/zi/八
勹	bao1	1A0AENG ◼ archaic variant of 包 [bāo]  GER ◼ veraltete Version von 包 [bāo]  RAD ◼ KangXi radical Nr. 20: wrap   INFORMATION 1A0PSTROKES: (2) 񃫖 񃫗  VARIANTS: 包 (archaic)  RELATIVES: 包 · 甸 · 句 · 勺  DISTINGUISH: 勹 · 刁 · 力  CHARACTER MEANING 1A0PCOMPONENTS: 勹  MNEOMICS: person is holding or covering something COMPONENT USAGE: ◼ NOT a standalone character ◼ mostly for sound ◼ rarely for semantics ◼ lean forward (orig.) ◼ grouping or enclosing smth (derived from 包) ORIGINS: 勹 depicts a person bending over, as if to lean forward over and rest their weight on an object. The original meaning is to lean forward over and rest one’s weight on an object.   ANCIENT FORM:AA10񁾑  A0PAA00https://zi.tools/zi/勹
贝[貝]	bei4	1A0AENG ◼ cowrie, shellfish ◼ currency (archaic) GER ◼ Muschel, Kaurimuschel, Kaurieschnecke ◼ Muschelgeld, Geld RAD ◼ KangXi radical Nr. 154: shell  INFORMATION 1A0PSTROKES: (4) 񁶍 񁶎 񁶏 񁶐 VARIANTS: 貝 (traditional) RELATIVES: 贵 DISTINGUISH: 见 · 見  CHARACTER MEANING 1A0PCOMPONENTS: 贝 MNEOMICS: cowrie shells were used as currency in ancient times; two halves of a sea shell; animal that crawls in and out of it's shell COMPONENT USAGE: ◼ money ◼ value ◼ transactions ORIGINS: 貝 is a picture of a cowry shell. Many ancient cultures used shells as currency. 贝 replaces 貝 in Simplified Chinese via regularization of cursive. In some characters that use the radical 貝 in the traditional form, 贝 is also used for simplification.  ANCIENT FORM:AA10񁶋񁄤  A0PAA00https://zi.tools/zi/贝 https://zi.tools/zi/貝 
冫[冫]	bing1	1A0ARAD ◼ KangXi radical Nr. 15: ice ◼ aka 两点水 [liǎngdiǎnshuǐ]  INFORMATION 1A0PSTROKES: (2) 񃎪 񃎫 RELATIVES: 冰 · 冷 · 况 · 凉 · 凌 DISTINGUISH: 彡 · 氵  CHARACTER MEANING 1A0PCOMPONENTS: 冫 MNEOMICS: possibly a reduction of 仌 COMPONENT USAGE: ◼ NOT a stand-alone character ◼ cold and icy things ORIGINS: 冫 depicts metal plates. The original meaning “metal plates” is related to 呂. This meaning can still be seen in 冶 “to smelt” and 凝 “to condense”. Later it was borrowed to mean “ice”.  ANCIENT FORM:AA10񃎨  A0PAA00https://zi.tools/zi/冫
艸[艸]	cao3	1A0PRAD ◼ KangXi radical Nr. 140: grass   INFORMATION 1A0PSTROKES: (7) 񃺪 񃺫 񃺬 񃺮 񃺯 񃺰 VARIANTS: 艹 RELATIVES: 芔 · 茻 DISTINGUISH: 屮  CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 屮 · 屮 MNEOMICS: ◼ grass are small plants growing/sprouting side by side  COMPONENT USAGE: ◼ NOT a standalone character ◼ grass ◼ plants, (non-tree) vegetation ◼ broad term, general concept of plants ORIGINS: 艸 is composed of two 屮 (non-tree vegetation) components. The character originally represented newly sprouted vegetation (same as 木 and 屮) and only later excluded trees. Mostly used in component form 艹.   ANCIENT FORM:AA10񂶅  A0PAA00https://zi.tools/zi/艸
艹[艹]	cao3	1A0PRAD ◼ component-only form of KangXi radical Nr. 140: grass   INFORMATION 1A0PSTROKES: (3) 񃁛 񃁜 񃁝 VARIANTS: 艸 RELATIVES: 草 DISTINGUISH: 屮  CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 屮 · 屮 MNEOMICS: ◼ grass are small plants growing/sprouting side by side  COMPONENT USAGE: ◼ NOT a standalone character ◼ plants, (non-tree) vegetation ◼ broad term, general concept of plants ORIGINS: 艹 is a component form of 艸, which is composed of two 屮 (non-tree vegetation) components.  ANCIENT FORM:AA10񂶅  A0PAA00https://zi.tools/zi/艹
屮	che4	1A0AENG ◼ sprouting plants (non-tree vegetation)  GER ◼ Spross, Keim  RAD ◼ KangXi radical Nr. 45: sprout  INFORMATION 1A0PSTROKES: (3) 񄔔 񄔕 񄔖 VARIANTS:   RELATIVES: 艸  DISTINGUISH: 山   CHARACTER MEANING 1A0PCOMPONENTS: 屮  MNEOMICS: Sprouts growing from the ground (like herbs)  COMPONENT USAGE:  ◼ NOT a standalone character ◼ non-tree vegetation ORIGINS: 屮 is a picture of newly sprouted vegetation. Before, this included both smaller, non-tree plants as well as trees (屮, 艸, and 木 wer used interchangeably). Later, it came to mean only non-tree vegetation.   ANCIENT FORM:AA10񄔒  A0PAA00https://zi.tools/zi/屮
虫[蟲]	chong2	1A0AENG ◼ lower form of animal life ( insects, insect larvae, worms, etc) ◼ people who behave despicably ◼ fan, addict GER ◼ Insekt, Wurm RAD ◼ KangXi radical Nr. 142: insect   INFORMATION 1A0PSTROKES: (6) 񁸀 񁸁 񁸂 񁸃 񁸄 񁸅 CLASSIFIER: tiáo [条] / zhī [只] VARIANTS: 蟲 (traditional) RELATIVES: 蛋 DISTINGUISH:    CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 虫 MNEOMICS: mosquito planting it's stinger 中 in your revealed skin  COMPONENT USAGE: ◼ worm, insect ORIGINS: 虫 depicts a venomous snake, which is also its original meaning. 虫 was the original character for 虺, but was used (as a component) to write “insect” (traditional: 蟲) as early as the Qin Dynasty. In Simplified Chinese, 虫 replaces 蟲 by omitting two of three 虫.   ANCIENT FORM:AA10񁷽񁷾  A0PAA00https://zi.tools/zi/虫
辶[辶]	chuo4	1A0ARAD ◼ component-only form of KangXi radical Nr. 162: walk, halt  INFORMATION 1A0PSTROKES: (4) 񵌚 񵌛 񵌜 񵌝 VARIANTS: 辵 (not used) ⻎⻍ RELATIVES: 这 · 还 DISTINGUISH: 廴 · 讠   CHARACTER MEANING 1A0PCOMPONENTS: 辶 ◼ 彳[zhì]: meaning: intersection (行) ◼ 止 [zhǐ]: meaning: foot, walk  MNEOMICS:  COMPONENT USAGE: ◼ NOT a stand-alone character ◼ movement ◼ travel ◼ passage ORIGINS: 辶 is the component form of 辵 with the original meaning to walk down a street. The components 彳 and 止 merged over time.   ANCIENT FORM:AA10񵌘  A0PAA00https://zi.tools/zi/辶 
寸	cun4	1A0AENG ◼ small, tiny, little, short ◼ inch ◼ thumb  GER ◼ sehr wenig ◼ Daumen  MW  ◼ a trad. unit of length (尺/市尺=10寸/市寸,  市寸=3.3cm=1.3in) ◼ used for pizza and screens (inch) RAD ◼ KangXi radical Nr. 41: inch, thumb   INFORMATION 1A0PSTROKES: (3) 񁨆 񁨇 񁨈 VARIANTS: 又 RELATIVES: 时  DISTINGUISH:   CHARACTER MEANING 1A0PCOMPONENTS: 寸  MNEOMICS: A thing 丶 which is smaller than the hand. The spot one inch below the wrist where the pulse is measured.   COMPONENT USAGE: ◼ actions done by hand (variant of 又) ◼ measurement of things ◼ investigation ◼ attentiveness  ◼ direction, guidance  ORIGINS: 寸 depicts a hand with a mark below the wrist, around the area where the pulse is taken, which is also the place where ancient Chinese medicine practitioner cuts cut the veins. Originally the character referred to that spot on the wrist.  ANCIENT FORM:AA10񁨄  A0PAA00https://zi.tools/zi/寸
大	da4	1A0AENG ◼ big, vast, large ◼ great ◼ senior, eldest, older ◼ your (politely) ◼ very, fully, extremely  GER ◼ groß, bedeutend, gewaltig ◼ alt  RAD ◼ KangXi radical Nr. 37: big OPP ◼ 小   INFORMATION 1A0PSTROKES: (3) 񁠗 񁠘 񁠙  VARIANTS:  亣  RELATIVES: 太 · 夫  DISTINGUISH:    CHARACTER MEANING 1A0PCOMPONENTS: 大  MNEOMICS: A man with arms and legs spread, trying to convey something large  COMPONENT USAGE: ◼ adult person ◼ smth. big, large, strong, old, etc.  ORIGINS: 大 depicts the front view of a standing adult person. Originally, the character meant adult man, as in opposition to 子, and by extension to also mean big. Later, the character for adult man 夫 was derived from 大.  ANCIENT FORM:AA10񁠕  A0PAA00https://zi.tools/zi/大
刀	dao1	1A0AENG ◼ knife, blade, sword ◼ money, old knife-shaped coin  GER ◼ Messer, Schwert, Hiebwaffe, Säbel  MW  ◼ knife cuts or stabs ◼ [paper] 100 sheets RAD ◼ KangXi radical Nr. 18: knife  INFORMATION 1A0PCLASSIFIER:  bà [把] STROKES: (2) 񃔿 񃕀 VARIANTS: 刂 · 刁 · 𠚣 · ⺈ RELATIVES: 刃 · 分 · 切 · 初 · 券 DISTINGUISH: 力 · 勹   CHARACTER MEANING 1A0PCOMPONENTS: 刀  MNEOMICS: a chinese cleaver (squared) knife that is held horizontally  COMPONENT USAGE: ◼ blade, sharpness ◼ actions undertaken with sharp items like cutting ORIGINS: 刀 is a picture of a knife. The lower/right part is the handle, and the upper/left one is the blade. When it appears as a component on the right side of a character, it is written 刂. Note: In ancient times, there was an old coin shaped like a knife (刀币), which was based on a bronze tool (削). This brought the meaning of money to the character of 刀 (US Dollar 美刀).  ANCIENT FORM:AA10񃍄  A0PAA00https://zi.tools/zi/刀
刂	dao1	1A0ARAD ◼ component-only side form of KangXi radical Nr. 18: (standing) knife   INFORMATION 1A0PSTROKES: (2) 񃍆 񃍇  VARIANTS: 刀 · 刁 RELATIVES: 前 · 别  DISTINGUISH:    CHARACTER MEANING 1A0PCOMPONENTS: 刀 MNEOMICS: cuts with a knife  COMPONENT USAGE: ◼ NOT a standalone character ◼ blade, sharpness ◼ actions undertaken with sharp items like cutting ORIGINS: 刂 is a component form of 刀, which is typically written on the right side of the character.   ANCIENT FORM:AA10񃍄  A0PAA00https://zi.tools/zi/刂
